N° Etudiant;MIN41200 Pog. Répartie;MIN41400 Conception&D appli mobiles;MIN41600 Projets;MIN411T0 Informatique théorique;MIN413T0 Prog multi-style;MIN415T0 Informatique embarquée;MIN42200 Rech opé & aide à la décision;MIN421T0 Maths AT;MIN423T0 Com;MIN424T0 Anglais;MIN43100 Stage professionnnel;MIN3MSPO Sport;Décision;Résultat année
21320148;13,583;15;11,88;13,25;13,83;13,78;14,2;13;11,4;15,83;13,8;;VAL;ADM
21320117;17,833;16,33;16,27;14,13;15,83;18,16;17,7;16,5;12,4;12,54;13,6;;VAL;ADM
21321086;11,833;9,5;14,36;10,63;17,17;12,65;13;14;17;14,17;13,8;;VAL;ADM
21320710;16,083;16,17;9,06;6,13;9,17;15,25;11,3;6,25;11,9;13,83;13,2;;VAL;ADM
21322271;11;9,25;16,27;13,38;10;12,16;11,3;10,75;14,6;15,33;13,2;;VAL;ADM
21321097;9;10,75;12,64;11,13;15,33;9,64;10,3;15,75;12,1;11,83;13,4;;VAL;ADM
21320737;16,583;16;14,5;14,13;17,5;16,62;12,3;16;13,8;11,42;15;;VAL;ADM
21322524;13,5;11,75;13,17;13,5;11,67;12,09;10,7;16,75;11,8;13,88;15;;VAL;ADM
21322293;9,5;9,75;8;7;7,33;9,93;7,7;7,75;10,6;12;10,8;;VAL;ADM
21320106;11,333;11,5;12,64;11,75;13,5;13,19;10,7;8,75;10,7;9,63;15,2;10,6;VAL;ADM
21320021;19,833;17,75;16,27;13;16,5;18,26;14,3;18;14,2;15,5;15,8;;VAL;ADM
21320728;14,083;14;11;10,13;13,17;17,59;8,7;13,5;10,9;12,63;14,4;;VAL;ADM
21320673;13,25;15,25;14,5;15,25;17,83;16,96;15;18,5;14,6;13,33;15,2;;VAL;ADM
21320374;9,667;7,5;13,17;10,13;8,33;12,73;15;11;12,4;8,89;13;;VAL;ADM
21320481;14,25;17,33;16;14,5;15,5;15,8;16,3;17;15,4;12,71;16;;VAL;ADM
21321072;14,833;13,25;13,7;12,63;17,33;16,97;16,3;14,75;11,2;9,33;11,4;;VAL;ADM
21320662;18,083;15,25;12,98;12,25;14,83;15,65;10,7;13;9,4;12,54;13,2;;VAL;ADM
21320601;15,667;15,75;12,98;12,88;11;18,69;18;13;12,6;17,13;15,6;;VAL;ADM
21320247;10,25;12,33;14,5;12,63;11;11,56;13,3;11,5;10,8;13,33;12,9;;VAL;ADM
21320258;14,583;15,33;15;16;16,17;16,42;17;17,25;12;11,92;12,8;;VAL;ADM
21322261;18,75;16,5;12,98;15,75;15,83;17,01;11,8;13,25;10,6;11,13;14,4;;VAL;ADM
21322072;10,333;12,5;12,64;12,63;12,67;11,07;9;11;10,3;10,79;11,8;;VAL;ADM
21322032;8;9,33;16,27;14,13;13,33;12,68;18,3;15,75;12,8;9,88;11,8;;VAL;ADM
21320101;11,667;11,25;12,64;13,25;15,17;11,87;13;13,5;13,3;15,38;14,2;15;VAL;ADM
21321464;8,917;7,83;15;8;11,17;8,93;11,7;11,25;13,4;6,67;12,4;;VAL;ADM
21322113;10,25;10;14,5;8,75;11,67;11,65;10,3;11,25;10,4;7,42;11,6;;VAL;ADM
21322095;11,167;12,33;10,98;10,63;13,17;8,92;11,7;9,75;12,8;7,71;10,6;;VAL;ADM
21322103;13,25;10,5;13,17;11,75;13,83;16,35;16,3;12;11,4;9,75;12;;VAL;ADM
21327264;12,083;9,75;14,5;13,38;13,67;7,02;11,3;12,25;14,2;18;15;;VAL;ADM
21222351;11,75;9,75;14,5;8,38;12,33;8,85;8,3;8,25;13,6;12,75;10,8;;VAL;ADM
21320010;9,917;14,5;15;13;13,83;11,99;15,8;12,5;13,2;16;12;;VAL;ADM
21320172;16,167;8,5;12,41;8,13;7,33;14,46;9;9;10,6;15,75;13,1;;VAL;ADM

